Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
21277092,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,93,
21277199,00000011,false,Rx,0,6,92,D0,0E,2B,0F,F0,00,00,
21278290,00000280,false,Rx,0,8,01,73,00,00,73,00,2C,00,
21278550,00000488,false,Rx,0,8,89,00,00,7F,A6,00,00,50,
21281977,00000570,false,Rx,0,4,07,00,00,00,00,00,00,00,
21282307,00000588,false,Rx,0,8,E9,01,7F,00,60,00,00,00,
21283237,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
21284025,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,94,
21284276,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21284529,000005A0,false,Rx,0,8,64,01,00,E0,AB,00,00,30,
21288333,00000288,false,Rx,0,8,75,52,00,00,00,56,00,00,
21288592,00000380,false,Rx,0,8,00,4E,00,08,00,00,00,00,
21290960,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,95,
21292352,00000480,false,Rx,0,8,53,22,00,00,19,06,00,6E,
21292537,00000050,false,Rx,0,4,00,01,90,91,00,00,00,00,
21298124,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,96,
21298303,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21298557,00000280,false,Rx,0,8,01,73,00,00,73,00,2C,00,
21298804,00000488,false,Rx,0,8,B9,00,00,7F,A6,00,00,60,
21298975,000005A0,false,Rx,0,8,64,01,00,8E,B9,00,00,30,
21302347,00000588,false,Rx,0,8,E9,02,7F,00,62,00,00,00,
21305055,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,97,
21306825,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
21307155,000005D8,false,Rx,0,8,15,04,00,03,01,00,00,00,
21307404,000005D0,false,Rx,0,6,80,47,51,30,24,41,00,00,
21307733,00000520,false,Rx,0,8,51,67,01,1E,80,75,34,04,
21308359,00000288,false,Rx,0,8,75,52,00,00,00,56,00,00,
21308542,00000380,false,Rx,0,8,00,4E,00,08,00,00,00,00,
21312047,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,98,
21312296,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21312467,00000050,false,Rx,0,4,00,01,A0,A1,00,00,00,00,
21312721,00000480,false,Rx,0,8,53,22,00,00,19,06,00,6E,
21312967,000005A0,false,Rx,0,8,64,01,00,3C,C7,00,00,30,
21328798,00001000,true,Rx,0,8,00,00,02,3A,00,00,8C,12,
21330237,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
21318344,00000280,false,Rx,0,8,01,73,00,00,73,00,2C,00,
21318542,00000488,false,Rx,0,8,A9,00,00,7F,A6,00,00,70,
21319092,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,99,
21322370,00000588,false,Rx,0,8,E9,02,7F,00,63,00,00,00,
21326039,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9A,
21326286,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21326540,000005A0,false,Rx,0,8,64,01,00,EA,D4,00,00,30,
21332247,00000288,false,Rx,0,8,8F,52,00,00,00,56,00,00,
21332289,00000380,false,Rx,0,8,00,4E,00,08,00,00,00,00,
21332306,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
21332323,00000480,false,Rx,0,8,A4,22,00,00,19,06,00,99,
21332570,00000050,false,Rx,0,4,00,01,B0,B1,00,00,00,00,
21333131,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9B,
21338371,00000280,false,Rx,0,8,01,73,00,00,73,00,2C,00,
21338586,00000488,false,Rx,0,8,59,00,00,7F,A6,00,00,80,
21340122,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9C,
21340374,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21340552,000005A0,false,Rx,0,8,64,01,00,98,E2,00,00,30,
21342312,00000588,false,Rx,0,8,E9,02,7F,00,63,00,00,00,
21346962,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9D,
21348352,00000288,false,Rx,0,8,8F,52,00,00,00,56,00,00,
21348612,00000380,false,Rx,0,8,00,4E,00,08,00,00,00,00,
21352340,00000480,false,Rx,0,8,A4,22,00,00,19,06,00,99,
21352524,00000050,false,Rx,0,4,00,01,C0,C1,00,00,00,00,
21354058,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9E,
21354309,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21354562,000005A0,false,Rx,0,8,64,01,00,46,F0,00,00,30,
21356408,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
21358283,00000280,false,Rx,0,8,01,73,00,00,73,00,2C,00,
