Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
917606213,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,18
917613283,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,19
917620413,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1A
917627359,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1B
917634300,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1C
917641335,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1D
917648257,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1E
917655244,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1F
917662300,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,10
917669258,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,11
917676268,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,12
917683303,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,13
917691302,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,14
917697339,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,15
917704380,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,16
917711398,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,17
917718443,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,18
917725398,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,19
917732298,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1A
917739419,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1B
917746313,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1C
917753436,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1D
917760427,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1E
917767360,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1F
917774434,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,10
917781402,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,11
917788365,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,12
917795368,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,13
917802366,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,14
917809303,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,15
917816484,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,16
917823454,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,17
917831581,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,18
917837590,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,19
917844491,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1A
917851754,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1B
917858464,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1C
917865372,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1D
917872476,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1E
917879447,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1F
