Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
302449550,288,false,Rx,0,8,75,98,D0,1F,0,56,D3,0
302469536,288,false,Rx,0,8,75,98,D0,1F,0,56,D2,0
302489525,288,false,Rx,0,8,75,98,D0,1F,0,56,D3,0
302509569,288,false,Rx,0,8,8F,98,D0,1F,0,56,D3,0
302529544,288,false,Rx,0,8,8F,98,D0,1F,0,56,D2,0
302549692,288,false,Rx,0,8,8F,98,D0,1F,0,56,D1,0
302569636,288,false,Rx,0,8,8F,98,D0,1F,0,56,D0,0
302589604,288,false,Rx,0,8,DE,98,D0,1F,0,56,D1,0
302609547,288,false,Rx,0,8,DE,98,D0,1F,0,56,D1,0
302629501,288,false,Rx,0,8,DE,98,D0,1F,0,56,D1,0
302649542,288,false,Rx,0,8,DE,98,D0,1F,0,56,D1,0
302669628,288,false,Rx,0,8,0C,98,D0,20,0,56,D1,0
302689572,288,false,Rx,0,8,0C,98,D0,20,0,56,D1,0
302709538,288,false,Rx,0,8,0C,98,D0,20,0,56,D0,0
302729579,288,false,Rx,0,8,0C,98,D0,20,0,56,D1,0
302749490,288,false,Rx,0,8,75,98,D0,20,0,56,CF,0
302769500,288,false,Rx,0,8,75,98,D0,20,0,56,D0,0
302789541,288,false,Rx,0,8,75,98,D0,20,0,56,D0,0
302809691,288,false,Rx,0,8,75,98,D0,20,0,56,CF,0
302829579,288,false,Rx,0,8,8F,98,D0,20,0,56,CE,0
302849572,288,false,Rx,0,8,8F,98,D0,20,0,56,CE,0
302869554,288,false,Rx,0,8,8F,98,D0,20,0,56,CE,0
302889547,288,false,Rx,0,8,8F,98,D0,20,0,56,CE,0
302909559,288,false,Rx,0,8,DE,98,D0,20,0,56,CE,0
302929514,288,false,Rx,0,8,DE,98,D0,20,0,56,CD,0
302949529,288,false,Rx,0,8,DE,98,D0,20,0,56,CD,0
302969674,288,false,Rx,0,8,DE,98,D0,20,0,56,CD,0
302989550,288,false,Rx,0,8,0C,98,D0,20,0,56,CD,0
303009571,288,false,Rx,0,8,0C,98,D0,20,0,56,CD,0
303029479,288,false,Rx,0,8,0C,98,D0,20,0,56,CD,0
303049481,288,false,Rx,0,8,75,98,D0,20,0,56,CD,0
303069479,288,false,Rx,0,8,75,98,D0,20,0,56,CD,0
303089572,288,false,Rx,0,8,75,98,D0,20,0,56,CD,0
303109653,288,false,Rx,0,8,75,98,D0,20,0,56,CD,0
