Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
6761930,00000288,false,Rx,0,8,8F,53,00,00,00,56,00,00,
6761960,00000380,false,Rx,0,8,00,4E,00,09,00,00,00,00,
6761976,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,93,
6765096,00000050,false,Rx,0,4,00,01,E0,E1,00,00,00,00,
6765311,00000480,false,Rx,0,8,A4,22,00,00,19,06,00,99,
6766927,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
6767257,000005D8,false,Rx,0,8,15,04,00,03,01,00,00,00,
6767515,000005D0,false,Rx,0,6,80,47,51,30,24,41,00,00,
6769050,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,94,
6769300,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6769553,000005A0,false,Rx,0,8,64,01,00,50,19,00,00,30,
6771237,00000280,false,Rx,0,8,01,71,00,00,71,00,2B,00,
6771497,00000488,false,Rx,0,8,69,00,00,7F,A6,00,00,B0,
6775226,00000588,false,Rx,0,8,E9,03,7F,00,63,00,00,00,
6776088,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,95,
6781976,00000288,false,Rx,0,8,DE,53,00,00,00,56,00,00,
6781999,00000380,false,Rx,0,8,00,4E,00,09,00,00,00,00,
6783020,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,96,
6783266,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6783520,000005A0,false,Rx,0,8,64,01,00,FE,26,00,00,30,
6785058,00000050,false,Rx,0,4,00,01,F0,F1,00,00,00,00,
6785303,00000480,false,Rx,0,8,ED,22,00,00,19,06,00,D0,
6790033,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,97,
6791196,00000280,false,Rx,0,8,01,71,00,00,71,00,2B,00,
6791442,00000488,false,Rx,0,8,19,00,00,7F,A6,00,00,C0,
6791771,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
6795305,00000588,false,Rx,0,8,E9,03,7F,00,63,00,00,00,
6797108,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,98,
6797359,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6797613,000005A0,false,Rx,0,8,64,01,00,AC,34,00,00,30,
6801958,00000288,false,Rx,0,8,DE,53,00,00,00,56,00,00,
6801985,00000380,false,Rx,0,8,00,4E,00,09,00,00,00,00,
6804022,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,99,
6805112,00000050,false,Rx,0,4,00,01,00,01,00,00,00,00,
6805359,00000480,false,Rx,0,8,ED,22,00,00,19,06,00,D0,
6811069,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9A,
6811316,00000280,false,Rx,0,8,01,71,00,00,71,00,2B,00,
6811569,00000488,false,Rx,0,8,F6,00,00,80,A6,00,00,D0,
6811815,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6812062,000005A0,false,Rx,0,8,64,01,00,5A,42,00,00,30,
6815265,00000588,false,Rx,0,8,E9,03,80,00,63,00,00,00,
6816429,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
6816684,00000420,false,Rx,0,8,06,78,78,44,00,00,FF,00,
6818148,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9B,
6821941,00000288,false,Rx,0,8,DE,53,00,00,00,56,00,00,
6821963,00000380,false,Rx,0,8,00,4E,00,09,00,00,00,00,
6825102,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9C,
6825226,00000050,false,Rx,0,4,00,01,10,11,00,00,00,00,
6825476,00000480,false,Rx,0,8,ED,22,00,00,19,06,00,D0,
6825730,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6825976,000005A0,false,Rx,0,8,64,01,00,08,50,00,00,30,
6831219,00000280,false,Rx,0,8,01,71,00,00,71,00,2B,00,
6831470,00000488,false,Rx,0,8,39,00,00,7F,A6,00,00,E0,
6832178,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9D,
6835235,00000588,false,Rx,0,8,E9,03,7F,00,63,00,00,00,
6839081,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9E,
6839275,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6839529,000005A0,false,Rx,0,8,64,01,00,B6,5D,00,00,30,
6842060,00000570,false,Rx,0,4,07,00,EB,00,00,00,00,00,
6842091,00000288,false,Rx,0,8,DE,53,00,00,00,56,00,00,
6842108,00000380,false,Rx,0,8,00,4E,00,09,00,00,00,00,
