Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5465695,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,90,
5467527,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5467551,000005A0,false,Rx,0,8,64,01,00,84,90,00,00,30,
5467968,00000280,false,Rx,0,8,01,74,00,00,74,00,2C,00,
5468221,00000488,false,Rx,0,8,99,00,00,7F,A6,00,00,40,
5472028,00000588,false,Rx,0,8,E9,01,7F,00,5D,00,00,00,
5472679,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,91,
5473915,00000010,false,Rx,0,6,6C,91,B7,9B,58,DF,00,00,
5477954,00000288,false,Rx,0,8,75,52,00,00,00,56,00,00,
5478210,00000380,false,Rx,0,8,00,4D,00,08,00,00,00,00,
5479607,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,92,
5479854,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5480109,000005A0,false,Rx,0,8,64,01,00,32,9E,00,00,30,
5481419,00000570,false,Rx,0,4,07,00,00,00,00,00,00,00,
5481974,00000480,false,Rx,0,8,53,22,00,00,19,06,00,6E,
5482153,00000050,false,Rx,0,4,00,01,80,81,00,00,00,00,
5482707,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
5487472,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,93,
5487962,00000280,false,Rx,0,8,01,74,00,00,74,00,2C,00,
5488217,00000488,false,Rx,0,8,89,00,00,7F,A6,00,00,50,
5491958,00000588,false,Rx,0,8,E9,01,7F,00,60,00,00,00,
5493697,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,94,
5493945,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5494124,000005A0,false,Rx,0,8,64,01,00,E0,AB,00,00,30,
5497940,00000288,false,Rx,0,8,75,52,00,00,00,56,00,00,
5498194,00000380,false,Rx,0,8,00,4D,00,08,00,00,00,00,
5500648,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,95,
